S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        50,GBBL,                                        399.20,                                        -2.80,                                        -0.70,                                        402.00,                                        405.00,                                        399.20,"                                        35,294.00",                                        402.00,2023-07-20 15:00:00
                                        51,GBIME,                                        203.90,                                        4.00,                                        2.00,                                        200.00,                                        206.00,                                        200.00,"                                        266,291.00",                                        199.90,2023-07-20 15:00:00
                                        52,GBLBS,                                        600.00,                                        -14.30,                                        -2.33,                                        610.00,                                        615.00,                                        594.10,"                                        5,749.00",                                        614.30,2023-07-20 15:00:00
                                        53,GFCL,                                        516.90,                                        -2.10,                                        -0.40,                                        519.00,                                        519.00,                                        507.40,"                                        43,616.00",                                        519.00,2023-07-20 15:00:00
                                        54,GHL,                                        221.00,                                        5.00,                                        2.31,                                        219.00,                                        223.00,                                        215.20,"                                        19,124.00",                                        216.00,2023-07-20 15:00:00
                                        55,GIBF1,                                        8.50,                                        -0.33,                                        -3.74,                                        8.66,                                        8.75,                                        8.50,"                                        1,100.00",                                        8.83,2023-07-20 15:00:00
                                        56,GILB,"                                        1,106.70",                                        56.80,                                        5.41,"                                        1,050.00","                                        1,106.70","                                        1,002.80","                                        4,035.00","                                        1,049.90",2023-07-20 15:00:00
                                        57,GLBSL,                                        733.30,                                        -3.70,                                        -0.50,                                        745.00,                                        745.00,                                        733.30,                                        20.00,                                        737.00,2023-07-20 15:00:00
                                        58,GLH,                                        265.00,                                        5.00,                                        1.92,                                        256.20,                                        267.20,                                        256.20,"                                        20,016.00",                                        260.00,2023-07-20 15:00:00
                                        59,GMFBS,                                        803.00,                                        -3.00,                                        -0.37,                                        806.00,                                        819.00,                                        802.70,                                        452.00,                                        806.00,2023-07-20 15:00:00
                                        60,GMFIL,                                        412.00,                                        -4.00,                                        -0.96,                                        412.00,                                        419.00,                                        408.00,"                                        18,359.00",                                        416.00,2023-07-20 15:00:00
                                        61,GRDBL,                                        317.90,                                        -1.60,                                        -0.50,                                        325.00,                                        325.00,                                        316.00,"                                        10,913.00",                                        319.50,2023-07-20 15:00:00
                                        62,GUFL,                                        566.00,                                        -4.00,                                        -0.70,                                        561.10,                                        570.00,                                        561.10,"                                        15,024.00",                                        570.00,2023-07-20 15:00:00
                                        63,GVL,                                        400.00,                                        0.10,                                        0.03,                                        396.00,                                        409.00,                                        396.00,"                                        12,450.00",                                        399.90,2023-07-20 15:00:00
                                        64,HBL,                                        223.90,                                        -2.60,                                        -1.15,                                        231.00,                                        231.00,                                        223.00,"                                        76,892.00",                                        226.50,2023-07-20 15:00:00
                                        65,HDHPC,                                        153.90,                                        3.40,                                        2.26,                                        152.00,                                        156.50,                                        151.10,"                                        65,551.00",                                        150.50,2023-07-20 15:00:00
                                        66,HDL,"                                        2,281.20",                                        -8.80,                                        -0.38,"                                        2,313.00","                                        2,315.00","                                        2,260.00","                                        29,824.00","                                        2,290.00",2023-07-20 15:00:00
                                        67,HEI,                                        639.10,                                        -4.90,                                        -0.76,                                        656.80,                                        656.80,                                        637.30,"                                        48,693.00",                                        644.00,2023-07-20 15:00:00
                                        68,HEIP,                                        449.20,                                        -5.60,                                        -1.23,                                        445.80,                                        458.30,                                        421.10,"                                        4,485.00",                                        454.80,2023-07-20 15:00:00
                                        69,HHL,                                        247.00,                                        0.00,                                        0.00,                                        243.00,                                        255.00,                                        243.00,"                                        7,253.00",                                        247.00,2023-07-20 15:00:00
